Position;Logo;Team;Points
1;img;Gambit;(981 points)
2;img;Natus Vincere;(829 points)
3;img;Heroic;(746 points)
4;img;G2;(611 points)
5;img;Astralis;(556 points)
6;img;FURIA;(484 points)
7;img;Virtus.pro;(469 points)
8;img;BIG;(400 points)
9;img;Liquid;(349 points)
10;img;Vitality;(331 points)
11;img;Complexity;(328 points)
12;img;Spirit;(322 points)
13;img;mousesports;(292 points)
14;img;NIP;(226 points)
15;img;Entropiq;(209 points)
16;img;forZe;(207 points)
17;img;FunPlus Phoenix;(180 points)
18;img;Extra Salt;(176 points)
19;img;SKADE;(164 points)
20;img;OG;(162 points)
21;img;HAVU;(155 points)
22;img;FaZe;(126 points)
23;img;Dignitas;(117 points)
24;img;fnatic;(109 points)
25;img;ENCE;(93 points)
26;img;Fiend;(89 points)
27;img;Movistar Riders;(89 points)
28;img;Evil Geniuses;(88 points)
29;img;Sinners;(87 points)
30;img;Sprout;(84 points)
